polygon_id,longitude,latitude,phase_angle,incidence_angle,emission_angle,pixel_x,pixel_y,brightness_temperature,local_solar_time,local_solar_time_normal_vector
8,139.010,37.739,4.111,77.145,78.450,131,81,286.020,9.274,11.471
9,139.356,38.265,4.075,77.080,78.354,132,81,286.220,9.297,11.573
10,139.928,38.072,4.060,56.832,56.621,132,81,286.220,9.335,14.053
11,140.284,38.609,4.023,58.886,60.349,133,81,275.820,9.359,11.885
12,140.881,38.388,4.008,61.523,63.114,133,81,275.820,9.398,11.585
13,141.362,39.013,3.975,65.837,68.323,134,81,276.890,9.431,9.973
14,141.996,38.805,3.963,68.188,70.736,134,81,276.890,9.473,9.686
15,142.526,39.465,3.932,68.489,71.079,135,81,289.460,9.508,9.606
16,143.160,39.254,3.922,73.721,76.443,135,81,289.460,9.550,8.947
17,143.899,39.529,3.892,64.832,66.036,136,81,279.140,9.600,12.184
18,144.046,40.060,3.873,57.839,60.261,136,81,279.140,9.609,10.579
19,145.029,39.961,3.846,59.975,62.629,137,81,271.360,9.675,10.123
20,145.228,40.527,3.829,60.621,63.125,137,80,274.690,9.688,10.284
21,146.226,40.419,3.804,62.750,65.456,138,81,272.470,9.755,9.847
22,146.429,40.993,3.785,65.663,67.728,138,80,275.500,9.768,10.596
23,147.432,40.865,3.759,66.053,68.158,139,80,275.160,9.835,10.479
24,147.639,41.430,3.738,67.781,69.552,139,80,275.160,9.849,10.992
25,148.645,41.270,3.711,66.850,68.460,140,80,271.230,9.916,11.349
26,148.865,41.838,3.689,65.200,67.143,140,80,271.230,9.931,10.814
27,149.885,41.654,3.662,64.417,66.235,141,80,271.320,9.999,11.065
28,150.135,42.241,3.643,62.635,64.863,141,80,271.320,10.015,10.484
29,151.166,42.033,3.616,61.125,63.152,142,80,272.840,10.084,10.875
30,151.440,42.632,3.597,59.697,62.114,142,80,272.840,10.102,10.370
31,152.480,42.405,3.572,61.007,63.529,143,80,270.290,10.172,10.106
32,152.773,43.014,3.556,60.486,63.210,143,80,270.290,10.191,9.867
33,153.814,42.765,3.529,55.207,57.421,144,80,272.740,10.261,10.893
34,154.123,43.365,3.512,55.699,57.793,144,79,275.490,10.281,11.057
35,155.167,43.089,3.483,55.745,57.826,145,80,272.520,10.351,11.046
36,155.491,43.687,3.465,56.388,58.320,145,79,274.380,10.373,11.259
37,156.538,43.396,3.436,57.521,59.583,146,80,273.980,10.442,10.969
38,156.880,43.997,3.417,58.516,60.354,147,79,275.660,10.465,11.310
39,157.930,43.688,3.388,59.536,61.492,147,80,273.720,10.535,11.026
40,158.292,44.282,3.370,59.921,61.797,148,79,273.670,10.559,11.165
41,159.342,43.958,3.341,60.590,62.532,148,80,273.660,10.629,10.979
42,159.726,44.552,3.323,60.471,62.450,149,79,274.540,10.655,10.935
43,160.770,44.220,3.295,60.335,62.281,149,80,273.940,10.724,10.971
44,161.176,44.817,3.277,60.358,62.307,150,79,275.580,10.751,10.980
45,162.217,44.465,3.249,60.110,62.013,150,79,275.580,10.821,11.047
46,162.637,45.045,3.229,63.091,64.407,151,79,276.020,10.849,12.162
47,163.669,44.666,3.200,64.865,66.440,151,79,276.020,10.918,11.485
48,164.111,45.241,3.180,64.758,66.362,152,79,272.810,10.947,11.442
49,165.141,44.859,3.153,66.849,68.693,152,79,272.810,11.016,10.733
50,165.607,45.439,3.133,66.801,68.662,153,79,272.440,11.047,10.712
51,166.621,45.052,3.108,68.597,70.621,153,79,272.440,11.114,10.175
52,167.107,45.636,3.090,68.297,70.401,154,79,275.610,11.147,10.038
53,168.101,45.228,3.064,62.800,64.315,154,79,275.610,11.213,11.700
54,168.613,45.808,3.045,60.500,62.539,155,79,277.410,11.247,10.695
55,169.596,45.373,3.017,55.728,57.221,155,79,277.410,11.313,11.938
56,170.130,45.945,2.997,56.312,57.706,156,79,279.300,11.348,12.136
57,171.100,45.479,2.967,56.914,58.378,156,79,279.300,11.413,11.950
58,171.656,46.035,2.948,57.479,58.849,157,79,281.780,11.450,12.152
59,172.594,45.554,2.916,54.424,55.175,157,80,288.260,11.513,13.263
60,173.165,46.109,2.896,52.348,53.413,158,79,283.600,11.551,12.736
61,174.083,45.634,2.864,51.951,52.917,159,80,285.400,11.612,12.870
62,174.701,46.189,2.845,48.998,50.489,159,80,285.400,11.653,12.039
63,175.609,45.714,2.813,47.575,48.843,160,80,286.320,11.714,12.384
64,176.248,46.265,2.795,48.127,49.313,160,80,286.320,11.756,12.532
65,177.135,45.771,2.762,47.335,48.351,161,80,283.590,11.815,12.761
66,177.751,46.292,2.742,55.663,55.739,161,80,283.590,11.856,14.404
67,178.626,45.789,2.709,57.932,58.804,162,80,281.340,11.915,13.098
68,179.260,46.318,2.689,58.655,59.458,162,80,281.340,11.957,13.283
69,180.158,45.819,2.657,58.304,59.012,163,81,284.550,12.017,13.441
70,180.806,46.327,2.636,60.201,60.727,163,81,284.550,12.060,13.898
71,181.670,45.816,2.603,59.685,60.039,164,81,283.760,12.118,14.178
72,182.334,46.323,2.582,58.050,58.568,164,81,283.760,12.162,13.826
73,183.188,45.791,2.550,58.011,58.505,165,81,283.080,12.219,13.845
74,183.877,46.265,2.529,59.719,60.067,165,81,283.080,12.265,14.222
75,184.691,45.707,2.496,59.040,59.109,166,82,287.480,12.319,14.638
76,185.384,46.174,2.474,58.735,58.842,166,82,287.480,12.365,14.583
77,186.187,45.612,2.442,59.606,59.988,167,82,279.390,12.419,14.121
78,186.916,46.060,2.420,61.337,61.585,167,82,279.390,12.467,14.494
79,187.738,45.521,2.389,64.361,65.211,168,82,278.220,12.522,13.134
80,188.500,45.976,2.367,67.874,68.423,168,82,278.220,12.573,14.192
81,189.322,45.439,2.337,68.612,69.277,169,83,284.860,12.628,13.851
82,190.104,45.858,2.315,67.792,68.539,169,83,284.860,12.680,13.576
83,190.897,45.308,2.284,65.622,65.987,170,83,282.760,12.733,14.519
84,191.698,45.720,2.262,64.153,64.643,171,83,278.280,12.786,14.151
85,192.468,45.151,2.231,64.708,65.280,171,83,278.280,12.838,13.934
86,193.301,45.548,2.209,61.874,62.710,172,83,280.480,12.893,13.098
87,194.048,44.973,2.179,60.562,61.211,172,84,278.620,12.943,13.562
88,194.898,45.367,2.157,62.132,62.662,173,84,282.510,13.000,13.969
89,195.618,44.768,2.126,62.628,63.221,173,84,282.510,13.047,13.790
90,196.482,45.131,2.105,58.906,59.855,174,84,283.310,13.105,12.690
91,197.179,44.526,2.074,56.526,57.190,174,84,283.310,13.152,13.402
92,198.025,44.890,2.054,61.296,61.607,175,84,283.650,13.208,14.480
93,198.698,44.276,2.023,63.601,64.302,175,84,283.650,13.253,13.487
94,199.550,44.608,2.003,62.141,62.967,176,84,280.050,13.310,13.065
95,200.231,43.997,1.972,62.464,63.314,176,85,286.160,13.355,12.947
96,201.090,44.336,1.953,60.590,61.598,177,85,286.390,13.412,12.408
97,201.741,43.722,1.922,56.646,57.185,177,85,286.390,13.456,13.736
98,202.599,44.025,1.902,54.761,55.449,178,85,284.520,13.513,13.328
99,203.238,43.399,1.870,54.500,55.140,178,85,284.520,13.556,13.413
100,204.111,43.708,1.851,52.583,53.376,179,85,282.840,13.614,13.003
101,204.722,43.089,1.820,54.337,55.281,179,85,282.840,13.654,12.533
102,205.579,43.380,1.802,54.032,55.013,180,85,285.470,13.712,12.451
103,206.156,42.767,1.772,53.396,54.312,181,86,286.970,13.750,12.610
104,207.023,43.056,1.754,56.171,56.897,181,85,285.150,13.808,13.268
105,207.585,42.437,1.723,55.849,56.527,182,86,283.860,13.845,13.367
106,208.458,42.691,1.704,57.229,57.831,182,86,283.860,13.904,13.678
107,208.997,42.068,1.673,59.213,60.000,183,86,279.790,13.939,13.058
108,209.878,42.326,1.654,59.236,60.032,183,86,279.790,13.998,13.064
109,210.388,41.722,1.625,60.268,61.130,184,86,278.950,14.032,12.757
110,211.263,41.960,1.606,60.900,61.732,184,86,278.950,14.091,12.938
111,211.720,41.384,1.579,65.533,66.612,185,86,279.310,14.121,11.561
112,212.581,41.612,1.561,70.211,71.007,185,86,279.310,14.178,13.331
113,212.999,41.005,1.532,64.031,64.241,186,87,282.450,14.206,15.252
114,213.873,41.147,1.511,65.766,65.907,186,87,282.450,14.264,15.561
115,214.285,40.501,1.479,67.038,67.330,187,87,281.760,14.292,15.260
116,215.178,40.629,1.457,65.893,66.247,187,87,281.760,14.352,15.016
117,215.587,39.999,1.426,66.797,67.224,188,88,275.120,14.379,14.805
118,216.467,40.134,1.406,59.981,60.768,188,88,275.120,14.438,12.932
119,216.856,39.546,1.378,59.113,59.846,189,88,275.420,14.463,13.133
120,217.711,39.696,1.360,57.898,58.706,189,88,275.420,14.521,12.798
121,218.074,39.122,1.332,58.316,59.131,190,88,276.740,14.545,12.707
122,218.893,39.237,1.315,59.420,60.185,190,88,276.740,14.599,13.025
123,219.240,38.681,1.287,61.069,61.889,191,88,279.790,14.623,12.669
124,220.058,38.769,1.269,64.767,65.434,192,88,280.770,14.677,13.725
125,220.395,38.231,1.243,66.289,67.008,192,88,280.770,14.699,13.392
126,221.203,38.267,1.223,69.269,69.878,193,88,279.210,14.753,14.318
127,221.538,37.735,1.196,67.906,68.451,193,89,279.090,14.776,14.564
128,222.355,37.758,1.176,65.574,66.208,194,89,277.020,14.830,13.945
138,139.081,38.953,4.049,81.163,82.395,132,81,286.220,9.278,11.429
139,139.477,39.575,4.011,85.201,87.334,133,81,275.820,9.305,8.317
140,140.108,39.422,4.000,67.387,68.717,134,81,276.890,9.347,11.888
141,140.575,40.065,3.965,73.303,75.803,134,81,276.890,9.378,9.320
142,141.233,39.874,3.955,70.155,72.550,135,81,289.460,9.422,9.761
143,142.020,40.188,3.926,71.197,73.737,135,80,271.700,9.474,9.449
144,142.152,40.722,3.910,68.864,71.819,136,80,274.180,9.483,9.136
145,143.196,40.683,3.884,64.082,66.402,136,80,274.180,9.553,10.346
146,143.326,41.236,3.868,62.827,65.361,137,80,274.690,9.561,10.138
147,144.376,41.180,3.840,62.577,65.062,137,80,274.690,9.631,10.205
148,144.516,41.742,3.823,63.550,65.876,138,80,275.500,9.641,10.377
149,145.572,41.664,3.795,62.534,64.672,138,80,275.500,9.711,10.712
150,145.711,42.232,3.777,63.757,65.709,139,80,275.160,9.720,10.957
151,146.775,42.127,3.747,63.362,65.219,139,80,275.160,9.791,11.121
152,146.919,42.695,3.728,64.481,66.174,140,80,271.230,9.801,11.375
153,148.003,42.567,3.698,65.778,67.731,140,80,271.230,9.873,10.794
154,148.174,43.158,3.682,61.495,64.218,141,79,272.230,9.885,9.894
155,149.286,43.017,3.653,58.498,60.827,141,80,271.320,9.959,10.624
156,149.475,43.616,3.637,59.714,61.830,142,79,273.600,9.971,10.888
157,150.599,43.441,3.608,61.683,64.084,142,79,273.600,10.046,10.299
158,150.806,44.043,3.593,60.991,63.543,143,79,274.250,10.060,10.131
159,151.943,43.843,3.567,62.588,65.292,143,79,274.250,10.136,9.776
160,152.174,44.444,3.553,62.849,65.497,144,79,275.490,10.151,9.845
161,153.313,44.216,3.525,58.420,60.490,144,79,275.490,10.227,11.002
162,153.562,44.810,3.508,59.415,61.314,145,79,274.380,10.244,11.251
163,154.697,44.558,3.477,59.537,61.442,145,79,274.380,10.319,11.207
164,154.957,45.153,3.460,60.392,62.160,146,79,276.140,10.337,11.428
165,156.095,44.883,3.429,60.776,62.602,146,79,276.140,10.413,11.274
166,156.379,45.483,3.412,59.841,61.839,147,79,275.660,10.432,11.027
167,157.529,45.190,3.381,59.412,61.322,148,79,273.670,10.508,11.174
168,157.848,45.782,3.365,57.493,59.792,148,79,273.670,10.529,10.633
169,158.996,45.469,3.335,55.990,58.073,149,79,274.540,10.606,11.031
170,159.334,46.067,3.319,57.298,59.152,149,78,279.060,10.629,11.376
171,160.471,45.748,3.288,58.385,60.391,150,79,275.580,10.704,11.024
172,160.830,46.350,3.272,59.440,61.270,150,78,282.190,10.728,11.314
173,161.956,46.000,3.240,57.418,58.831,151,79,276.020,10.803,12.123
174,162.335,46.587,3.222,56.495,58.065,151,78,282.590,10.829,11.879
175,163.459,46.208,3.190,57.476,59.210,152,79,272.810,10.904,11.518
176,163.869,46.800,3.173,57.925,59.592,152,79,272.810,10.931,11.646
177,164.989,46.415,3.143,60.199,62.182,153,79,272.440,11.006,10.900
178,165.424,47.010,3.126,61.343,63.128,153,78,277.040,11.035,11.261
179,166.531,46.619,3.098,64.823,66.998,154,79,275.610,11.108,10.196
180,166.991,47.210,3.081,66.006,67.963,154,78,274.240,11.139,10.600
181,168.081,46.808,3.055,66.318,68.296,155,79,277.410,11.212,10.499
182,168.570,47.391,3.037,67.380,69.179,155,78,273.450,11.244,10.883
183,169.638,46.963,3.008,64.285,65.621,156,79,279.300,11.316,12.183
184,170.148,47.540,2.991,59.374,61.616,156,78,276.300,11.350,10.386
185,171.196,47.078,2.961,52.860,54.319,157,79,281.780,11.419,12.119
186,171.738,47.636,2.946,50.105,52.134,158,78,287.560,11.456,11.232
187,172.767,47.149,2.912,45.035,46.195,158,79,283.600,11.524,12.638
188,173.311,47.707,2.895,47.186,48.073,159,78,288.330,11.561,13.044
189,174.329,47.222,2.860,49.574,51.092,159,79,285.790,11.628,12.040
190,174.874,47.771,2.843,57.741,58.295,160,79,287.360,11.665,13.814
191,175.888,47.289,2.809,59.361,60.512,160,79,287.360,11.732,12.629
192,176.436,47.825,2.790,64.016,64.698,161,79,286.430,11.769,13.816
193,177.413,47.322,2.756,63.134,63.272,161,79,286.430,11.834,14.778
194,177.966,47.843,2.736,59.809,60.236,162,79,282.250,11.871,14.126
195,178.941,47.341,2.702,60.879,61.705,162,80,281.340,11.936,13.341
196,179.550,47.866,2.682,63.721,64.292,163,80,281.580,11.976,14.035
197,180.518,47.351,2.648,63.703,64.256,163,80,281.580,12.041,14.049
198,181.144,47.856,2.628,63.932,64.476,164,80,283.400,12.082,14.104
199,182.097,47.339,2.595,64.006,64.565,164,80,283.400,12.146,14.051
200,182.748,47.849,2.574,64.369,64.908,165,80,280.700,12.189,14.138
201,183.677,47.306,2.541,63.963,64.339,165,81,283.080,12.251,14.443
202,184.364,47.784,2.520,60.590,61.271,166,81,284.540,12.297,13.652
203,185.257,47.210,2.487,59.237,59.373,166,81,284.540,12.357,14.607
204,185.977,47.686,2.466,56.043,56.445,167,81,284.870,12.405,14.022
205,186.833,47.099,2.432,55.735,55.991,167,82,279.390,12.462,14.231
206,187.575,47.556,2.411,58.087,58.180,168,81,281.090,12.511,14.641
207,188.422,46.974,2.378,59.331,59.884,168,82,278.220,12.568,13.827
208,189.193,47.432,2.357,62.595,62.908,169,82,276.430,12.619,14.522
209,190.054,46.854,2.325,64.555,65.326,169,82,276.430,12.677,13.450
210,190.847,47.281,2.304,66.991,67.573,170,82,277.240,12.729,14.137
211,191.698,46.698,2.272,66.726,67.242,171,83,278.280,12.786,14.278
212,192.515,47.124,2.251,63.134,63.936,171,82,277.840,12.841,13.326
213,193.348,46.542,2.219,63.540,64.394,172,83,280.480,12.896,13.141
214,194.188,46.958,2.200,61.424,62.472,172,83,280.480,12.952,12.533
215,194.991,46.359,2.168,58.336,58.882,173,83,279.300,13.006,13.825
216,195.821,46.771,2.151,49.949,51.309,173,83,279.300,13.061,11.824
217,196.592,46.143,2.119,47.139,48.184,174,83,285.730,13.113,12.528
218,197.392,46.528,2.102,57.230,57.501,174,83,285.730,13.166,14.413
219,198.129,45.883,2.068,57.287,57.605,175,84,283.650,13.215,14.300
220,198.943,46.263,2.050,56.508,56.887,175,83,282.970,13.269,14.167
221,199.694,45.600,2.016,58.803,59.665,176,84,280.050,13.319,12.974
222,200.544,45.937,1.997,60.060,60.839,176,84,280.050,13.376,13.284
223,201.259,45.282,1.965,62.070,63.094,177,84,280.290,13.424,12.417
224,202.118,45.610,1.947,66.506,67.235,177,84,280.290,13.481,13.656
225,202.807,44.965,1.915,66.325,67.019,178,84,281.100,13.527,13.746
226,203.680,45.262,1.895,64.749,65.552,178,84,281.100,13.585,13.304
227,204.344,44.629,1.864,64.831,65.633,179,85,282.840,13.629,13.267
228,205.226,44.922,1.845,64.057,64.917,180,84,280.180,13.688,13.053
229,205.849,44.290,1.815,65.198,66.157,180,85,285.470,13.730,12.584
230,206.712,44.566,1.797,63.800,64.860,181,85,285.150,13.787,12.162
231,207.308,43.945,1.767,60.603,61.353,181,85,285.150,13.827,13.370
232,208.194,44.218,1.749,62.947,63.576,182,85,280.110,13.886,13.920
233,208.783,43.582,1.717,63.001,63.626,182,85,280.110,13.925,13.898
234,209.670,43.837,1.699,58.357,59.268,183,85,279.410,13.984,12.751
235,210.226,43.202,1.667,57.484,58.304,183,85,279.410,14.021,13.033
236,211.091,43.472,1.652,54.690,55.702,184,85,288.420,14.079,12.356
237,211.618,42.834,1.621,53.117,53.986,184,86,278.950,14.114,12.814
238,212.485,43.071,1.604,60.770,61.249,185,85,282.940,14.172,14.373
239,212.992,42.425,1.572,63.507,64.323,185,86,279.310,14.206,13.141
240,213.866,42.640,1.554,67.567,68.190,186,86,284.510,14.264,14.255
241,214.329,41.969,1.522,64.538,64.693,186,86,284.510,14.295,15.480
242,215.213,42.135,1.502,57.210,57.701,187,86,285.540,14.354,14.171
243,215.650,41.441,1.469,56.332,56.683,187,87,281.760,14.383,14.485
244,216.536,41.594,1.450,52.391,52.948,188,87,282.730,14.442,13.768
245,216.944,40.917,1.418,55.965,56.783,188,87,282.730,14.469,12.853
246,217.797,41.069,1.401,56.036,56.860,189,87,283.690,14.526,12.872
247,218.174,40.436,1.372,56.440,57.272,189,87,283.690,14.551,12.777
248,219.010,40.579,1.356,56.308,57.156,190,87,281.970,14.607,12.742
249,219.366,39.954,1.327,55.478,56.273,191,87,287.820,14.631,12.927
250,220.177,40.050,1.310,58.243,58.913,191,87,287.820,14.685,13.611
251,220.522,39.421,1.280,58.718,59.406,192,88,280.770,14.708,13.493
252,221.341,39.488,1.262,62.659,63.203,192,88,280.770,14.762,14.376
253,221.686,38.872,1.232,64.152,64.777,193,88,279.210,14.786,14.020
254,222.490,38.915,1.213,63.815,64.459,193,88,279.210,14.839,13.935
255,222.824,38.332,1.185,64.059,64.707,194,88,278.420,14.861,13.877
256,223.628,38.373,1.167,64.285,64.934,194,88,278.420,14.915,13.932
265,137.441,39.776,4.049,80.282,82.756,133,81,275.820,9.169,8.603
266,138.133,39.737,4.035,74.549,76.722,133,81,275.820,9.215,9.727
267,138.444,40.443,4.005,75.681,78.313,134,80,269.880,9.236,8.930
