polygon_id,longitude,latitude,phase_angle,incidence_angle,emission_angle,pixel_x,pixel_y,brightness_temperature,local_solar_time,local_solar_time_normal_vector
1,135.510,36.298,3.744,74.353,78.029,140,81,290.990,10.384,7.838
2,136.122,36.282,3.736,80.934,84.655,140,80,281.560,10.425,7.305
3,136.373,36.757,3.729,83.294,86.766,140,80,281.560,10.442,7.332
4,136.992,36.751,3.720,83.138,86.604,140,80,281.560,10.483,7.347
5,137.322,37.287,3.701,87.241,89.828,141,79,283.180,10.505,7.489
6,137.984,37.276,3.683,83.284,85.618,141,79,283.180,10.549,8.314
7,138.356,37.824,3.654,85.083,86.931,142,79,288.410,10.574,8.917
8,139.010,37.739,3.632,76.460,77.492,143,79,290.630,10.618,12.815
9,139.356,38.265,3.600,76.565,77.574,143,79,290.630,10.641,12.917
10,139.928,38.072,3.576,64.915,64.231,144,79,288.260,10.679,15.397
11,140.284,38.609,3.544,58.888,59.617,144,79,288.260,10.703,13.229
12,140.881,38.388,3.520,60.522,61.435,145,79,282.900,10.742,12.929
13,141.362,39.013,3.489,59.297,61.143,146,79,282.740,10.775,11.317
14,141.996,38.805,3.468,61.021,62.971,146,79,282.740,10.817,11.030
15,142.526,39.465,3.440,61.044,63.048,147,79,288.940,10.852,10.950
16,143.160,39.254,3.420,65.007,67.225,147,79,288.940,10.894,10.291
17,143.899,39.529,3.386,65.688,66.383,148,79,291.600,10.944,13.529
18,144.046,40.060,3.373,52.286,53.899,148,79,291.600,10.954,11.923
19,145.029,39.961,3.334,52.557,54.454,149,79,282.590,11.019,11.467
20,145.228,40.527,3.323,54.212,55.983,149,79,282.590,11.032,11.628
21,146.226,40.419,3.285,54.662,56.678,150,79,277.670,11.099,11.191
22,146.429,40.993,3.273,61.613,63.097,151,78,281.180,11.113,11.940
23,147.432,40.865,3.235,61.641,63.170,151,79,277.550,11.179,11.823
24,147.639,41.430,3.221,65.327,66.605,152,78,279.130,11.193,12.336
25,148.645,41.270,3.182,65.366,66.488,153,78,276.590,11.260,12.693
26,148.865,41.838,3.168,61.859,63.240,153,78,276.590,11.275,12.158
27,149.885,41.654,3.129,61.848,63.103,154,78,276.260,11.343,12.409
28,150.135,42.241,3.116,57.595,59.185,154,78,276.260,11.359,11.828
29,151.166,42.033,3.078,57.463,58.839,155,78,274.720,11.428,12.219
30,151.440,42.632,3.066,53.501,55.215,155,78,274.720,11.446,11.714
31,152.480,42.405,3.028,53.786,55.627,156,78,276.010,11.516,11.450
